anos de gestao;qualificacao do gestor;porte;lucro
1;EnsinoMedio;pequena;1000
1;EnsinoMedio;pequena;1000
1;EnsinoMedio;pequena;1000
1;EnsinoMedio;pequena;1000
1;EnsinoMedio;media;1000
1;EnsinoMedio;media;1000
1;EnsinoMedio;grande;1000
2;EnsinoMedio;pequena;2000
2;EnsinoMedio;pequena;2000
2;EnsinoMedio;pequena;2000
2;EnsinoMedio;pequena;2000
2;EnsinoMedio;media;2000
3;EnsinoMedio;media;3000
3;EnsinoMedio;grande;3000
3;EnsinoMedio;pequena;2846
3;EnsinoMedio;pequena;3007
3;EnsinoMedio;pequena;3167
3;EnsinoMedio;pequena;3327
3;EnsinoMedio;media;3488
4;Graduacao;media;3648
4;Graduacao;grande;3809
4;Graduacao;pequena;3969
4;Graduacao;pequena;4130
4;Graduacao;pequena;4290
4;Graduacao;pequena;4451
5;Graduacao;media;4611
5;Graduacao;media;4771
5;Graduacao;grande;4932
5;Graduacao;pequena;5092
5;Posgraduacao;pequena;5253
5;Posgraduacao;pequena;5413
6;Posgraduacao;pequena;5574
6;Posgraduacao;media;5734
6;Posgraduacao;media;5895
6;Posgraduacao;grande;6055
6;Posgraduacao;pequena;6215
6;Posgraduacao;pequena;6376
7;Posgraduacao;pequena;6536
7;Posgraduacao;pequena;6697
7;Posgraduacao;media;6857
7;Posgraduacao;media;7018
7;Posgraduacao;grande;7178
7;Posgraduacao;pequena;7338
7;Posgraduacao;pequena;7499
8;Posgraduacao;pequena;7659
8;EnsinoMedio;pequena;7820
8;EnsinoMedio;media;7980
8;EnsinoMedio;media;8141
8;EnsinoMedio;grande;8301
8;EnsinoMedio;pequena;8462
9;EnsinoMedio;pequena;8622
9;EnsinoMedio;pequena;8782
9;EnsinoMedio;pequena;8943
9;EnsinoMedio;media;9103
9;EnsinoMedio;media;9264
9;EnsinoMedio;grande;9424
10;EnsinoMedio;pequena;9585
10;EnsinoMedio;pequena;9745
10;EnsinoMedio;pequena;9905
10;EnsinoMedio;pequena;10066
10;EnsinoMedio;media;10226
10;EnsinoMedio;media;10387
11;EnsinoMedio;grande;10547
11;EnsinoMedio;pequena;10708
11;Graduacao;pequena;10868
11;Graduacao;pequena;11029
11;Graduacao;pequena;11189
11;Graduacao;media;11349
12;Graduacao;media;11510
12;Graduacao;grande;11670
12;Graduacao;pequena;11831
12;Graduacao;pequena;11991
12;Graduacao;pequena;12152
12;Graduacao;pequena;12312
12;Posgraduacao;media;12473
13;Posgraduacao;media;12633
13;Posgraduacao;grande;12793
13;Posgraduacao;pequena;12954
13;Posgraduacao;pequena;13114
13;Posgraduacao;pequena;13275
13;Posgraduacao;pequena;13435
14;Posgraduacao;media;13596
14;Posgraduacao;media;13756
14;Posgraduacao;grande;13916
14;Posgraduacao;pequena;14077
14;Posgraduacao;pequena;14237
14;Posgraduacao;pequena;14398
15;Posgraduacao;pequena;14558
15;Posgraduacao;media;14719
15;Posgraduacao;media;14879
15;EnsinoMedio;grande;15040
15;EnsinoMedio;pequena;15200
15;EnsinoMedio;pequena;15360
16;EnsinoMedio;pequena;15521
16;EnsinoMedio;pequena;15681
16;EnsinoMedio;media;15842
16;EnsinoMedio;media;16002
16;EnsinoMedio;grande;16163
16;EnsinoMedio;pequena;16323
16;EnsinoMedio;pequena;16484
17;EnsinoMedio;pequena;16644
17;EnsinoMedio;pequena;16804
17;EnsinoMedio;media;16965
17;EnsinoMedio;media;17125
17;EnsinoMedio;grande;17286
17;EnsinoMedio;pequena;17446
18;EnsinoMedio;pequena;17607
18;EnsinoMedio;pequena;17767
18;EnsinoMedio;pequena;17927
18;Graduacao;media;18088
18;Graduacao;media;18248
18;Graduacao;grande;18409
19;Graduacao;pequena;18569
19;Graduacao;pequena;18730
19;Graduacao;pequena;18890
19;Graduacao;pequena;19051
19;Graduacao;media;19211
19;Graduacao;media;19371
20;Graduacao;grande;19532
20;Posgraduacao;pequena;19692
20;Posgraduacao;pequena;19853
20;Posgraduacao;pequena;20013
20;Posgraduacao;pequena;20174
20;Posgraduacao;media;20334
20;Posgraduacao;media;20495
21;Posgraduacao;grande;20655
21;Posgraduacao;pequena;20815
21;Posgraduacao;pequena;20976
21;Posgraduacao;pequena;21136
21;Posgraduacao;pequena;21297
21;Posgraduacao;media;21457
22;Posgraduacao;media;21618
22;Posgraduacao;grande;21778
22;Posgraduacao;pequena;21938
22;Posgraduacao;pequena;22099
22;EnsinoMedio;pequena;22259
22;EnsinoMedio;pequena;22420
23;EnsinoMedio;media;22580
23;EnsinoMedio;media;22741
23;EnsinoMedio;grande;22901
23;EnsinoMedio;pequena;23062
23;EnsinoMedio;pequena;23222
23;EnsinoMedio;pequena;23382
24;EnsinoMedio;pequena;23543
24;EnsinoMedio;media;23703
24;EnsinoMedio;media;23864
24;EnsinoMedio;grande;24024
24;EnsinoMedio;pequena;24185
24;EnsinoMedio;pequena;24345
25;EnsinoMedio;pequena;24505
25;EnsinoMedio;pequena;24666
25;EnsinoMedio;media;24826
25;EnsinoMedio;media;24987
25;EnsinoMedio;grande;25147
25;Graduacao;pequena;25308
25;Graduacao;pequena;25468
26;Graduacao;pequena;25629
26;Graduacao;pequena;25789
26;Graduacao;media;25949
26;Graduacao;media;26110
26;Graduacao;grande;26270
26;Graduacao;pequena;26431
27;Graduacao;pequena;26591
27;Graduacao;pequena;26752
27;Posgraduacao;pequena;26912
27;Posgraduacao;media;27073
27;Posgraduacao;media;27233
27;Posgraduacao;grande;27393
28;Posgraduacao;pequena;27554
28;Posgraduacao;pequena;27714
28;Posgraduacao;pequena;27875
28;Posgraduacao;pequena;28035
28;Posgraduacao;media;28196
28;Posgraduacao;media;28356
29;Posgraduacao;grande;28516
29;Posgraduacao;pequena;28677
29;Posgraduacao;pequena;28837
29;Posgraduacao;pequena;28998
29;Posgraduacao;pequena;29158
29;Posgraduacao;media;29319
29;EnsinoMedio;media;29479
30;EnsinoMedio;grande;29640
30;EnsinoMedio;pequena;29800
30;EnsinoMedio;pequena;29960
30;EnsinoMedio;pequena;30121
30;EnsinoMedio;pequena;30281
30;EnsinoMedio;media;30442
31;EnsinoMedio;media;30602
31;EnsinoMedio;grande;30763
31;EnsinoMedio;pequena;30923
31;EnsinoMedio;pequena;31084
31;EnsinoMedio;pequena;31244
31;EnsinoMedio;pequena;31404
32;EnsinoMedio;media;31565
32;EnsinoMedio;media;31725
32;EnsinoMedio;grande;31886
32;EnsinoMedio;pequena;32046
32;EnsinoMedio;pequena;32207
32;EnsinoMedio;pequena;32367
33;Graduacao;pequena;32527
33;Graduacao;media;32688
33;Graduacao;media;32848
33;Graduacao;grande;33009
33;Graduacao;pequena;33169
33;Graduacao;pequena;33330
33;Graduacao;pequena;33490
34;Graduacao;pequena;33651
34;Graduacao;media;33811
34;Graduacao;media;33971
34;Posgraduacao;grande;34132
34;Posgraduacao;pequena;34292
34;Posgraduacao;pequena;34453
35;Posgraduacao;pequena;34613
